EAC,GI,TM,the_date,hour
0.208,13.1833333333333,25.5166666666667,2019-07-01,5
1.82,95.4333333333333,29.7166666666667,2019-07-01,6
4.838,244.783333333333,36.9333333333333,2019-07-01,7
7.831,414.7,42.9,2019-07-01,8
10.264,595.516666666667,46.5666666666667,2019-07-01,9
11.06,687.516666666667,49.2166666666667,2019-07-01,10
9.79300000000001,577.65,46.75,2019-07-01,11
9.965,615.75,47.4166666666667,2019-07-01,12
12.171,753.366666666667,48.7166666666667,2019-07-01,13
9.92699999999999,574.133333333333,46.4333333333333,2019-07-01,14
8.45999999999999,445.233333333333,43.8666666666667,2019-07-01,15
4.705,240.75,39.9,2019-07-01,16
1.569,88.1666666666667,35.45,2019-07-01,17
0.278000000000006,17.7166666666667,32.3333333333333,2019-07-01,18
0.258,15.8,28.3166666666667,2019-07-02,5
1.088,54.95,30.4833333333333,2019-07-02,6
1.099,50.4666666666667,28.6666666666667,2019-07-02,7
3.961,186.133333333333,32.7,2019-07-02,8
7.602,401.15,40.8833333333333,2019-07-02,9
7.181,370.683333333333,42.3333333333333,2019-07-02,10
7.46,399.966666666667,40.9666666666667,2019-07-02,11
10.529,591.033333333333,41.1833333333333,2019-07-02,12
11.484,672.216666666667,44.9666666666667,2019-07-02,13
8.594,479.633333333333,42.2166666666667,2019-07-02,14
7.691,393.916666666667,38.75,2019-07-02,15
5.70100000000001,287.316666666667,37.25,2019-07-02,16
2.139,108.183333333333,33.45,2019-07-02,17
0.303000000000011,17.7,31.25,2019-07-02,18
0.077,5.66666666666667,25.3333333333333,2019-07-03,5
1.352,65.5,26.9166666666667,2019-07-03,6
2.428,111.65,30.6333333333333,2019-07-03,7
4.395,200.4,30.2833333333333,2019-07-03,8
3.954,172.866666666667,30.0333333333333,2019-07-03,9
7.419,356.966666666667,36.65,2019-07-03,10
4.412,194.7,29.9166666666667,2019-07-03,11
5.888,267.4,32.4333333333333,2019-07-03,12
7.092,356.666666666667,39.3333333333333,2019-07-03,13
4.43,207.633333333333,33.2833333333333,2019-07-03,14
3.863,183.6,32.5833333333333,2019-07-03,15
3.064,138.533333333333,29.2166666666667,2019-07-03,16
1.888,94.3666666666667,30.7333333333333,2019-07-03,17
0.231000000000002,14.3666666666667,28.2666666666667,2019-07-03,18
0.144,10.6833333333333,26.4,2019-07-04,5
1.296,69.05,29.4833333333333,2019-07-04,6
3.712,187.166666666667,34.6833333333333,2019-07-04,7
8.778,470.733333333333,44.9666666666667,2019-07-04,8
10.595,621.766666666667,50.15,2019-07-04,9
10.546,601.216666666667,45.7166666666667,2019-07-04,10
9.066,486.016666666667,41.25,2019-07-04,11
4.716,225.433333333333,35.2,2019-07-04,12
2.278,100.683333333333,27.8833333333333,2019-07-04,13
3.555,158.933333333333,32.8,2019-07-04,14
3.606,170.416666666667,35.0166666666667,2019-07-04,15
2.46700000000001,118.133333333333,33.8666666666667,2019-07-04,16
1.139,57.4333333333333,31.5833333333333,2019-07-04,17
0.168999999999997,10.1666666666667,29.3333333333333,2019-07-04,18
0.622,30.7833333333333,27.1833333333333,2019-07-05,5
1.5,72.75,28.6666666666667,2019-07-05,6
2.298,113.583333333333,30.6666666666667,2019-07-05,7
5.297,273.983333333333,37.35,2019-07-05,8
10.566,599.55,48.3833333333333,2019-07-05,9
8.678,517.166666666667,46.2166666666667,2019-07-05,10
1.426,67.25,26.8666666666667,2019-07-05,11
8.267,410.766666666667,38.2666666666667,2019-07-05,12
8.20200000000001,416.533333333333,41.1166666666667,2019-07-05,13
9.756,515.333333333333,42.5166666666667,2019-07-05,14
